id          ,viewCount  ,likeCount ,commentCount
vUZWe5kAsSM ,94712292   ,  4236244 ,       13199
Kk3ticiuPrk ,1425848    ,    35798 ,        1682
dg-KO_hV6U4 ,1662437    ,    51352 ,         275
80FnBvMyiUI ,2327581    ,    36049 ,         933
M5f5iXf68Fs ,2039554    ,    30151 ,        1205
7lnCi-c3NOw ,5080959    ,    23021 ,         252
Yj67ompb_RY ,5157396    ,   129490 ,            
ckFFF2VyLxk ,10025714   ,   625249 ,        3798
A04AXPhhUNo ,63192      ,      358 ,           7
Ua5VVle8Mho ,1416227    ,    19686 ,         416
vMn4vRYp-EY ,107978     ,      778 ,          12
GA7Kl7XWOmM ,16143995   ,   242643 ,        7396
5YEzEZfwk-8 ,2146928    ,   156608 ,        4117
FxK3dy7Iajo ,3301962    ,    56838 ,            
enW-fNTOnWM ,3255036    ,    42670 ,        1300
wokbGkTMLQY ,5661832    ,    15694 ,         223
4XZz3WXRw0A ,26661178   ,  2171755 ,       69327
RDUhpvCqrqA ,2086909    ,   140306 ,         342
-jpj4lsYmYk ,294072     ,     4978 ,         883
hiSQyl6TvHg ,9977336    ,   295496 ,        2027
IyH1x2R8FRg ,934398     ,    11387 ,         606
0YSOKTZ1pLY ,4443811    ,   308026 ,         670
QNDPGtqbg7I ,7334947    ,   258342 ,        2604
7dLaPBOdgTk ,841593     ,    35151 ,        1522
Jgo7p8Yew6g ,8499028    ,   111920 ,            
rryErFA86vI ,263913     ,     1626 ,          26
We26I70NadY ,831844     ,    10999 ,            
1JOS0GHFmBk ,14831429   ,   338408 ,            
Sdkwu2FvFfI ,31787265   ,   697858 ,       28947
ihgSZmgjk20 ,819349     ,    12627 ,         245
vbA926S3hjs ,821297     ,     5030 ,         181
nwP3TeK-fPs ,7702558    ,   258503 ,        6475
40uMbKjSBwU ,371300     ,     7257 ,         135
neKqlZujsx8 ,14741829   ,   561321 ,       24129
5jwETfUw0TE ,1258489    ,    23553 ,        3096
zVa0yHox7Ms ,18217717   ,   199080 ,        3994
H6ly9KGuVTk ,366365     ,     4309 ,         209
wE891Z9gcXY ,2447663    ,    91209 ,        1366
8rDNZ5Ebwsc ,16500129   ,   436455 ,            
p5TXO5KT99g ,1029985    ,    11888 ,         231
TI2uGmdzhzw ,8968280    ,   288513 ,        5563
9bIBYPYb6Tk ,1685587    ,    30268 ,        1632
buALERURN_0 ,112382     ,     2715 ,          62
SvLdjr_Wodc ,10767      ,      167 ,           8
vo3qLUki5L8 ,1707517    ,    30467 ,         344
GOysW6WYWoE ,36350246   ,   154467 ,           0
O8jT8ppFkto ,1176158    ,    35239 ,         907
_VRL_urv4EI ,189422     ,     2579 ,          67
PnyDclyyFqs ,4935926    ,    64868 ,        1297
g9Ge8z-nAEg ,39097356   ,   462574 ,       12237
hD0r9Hr8SdI ,17363562   ,   130406 ,        2892
viEet9cNQEo ,939572     ,    14103 ,         257
5wK8sABFAaI ,1281620    ,     8480 ,         249
a_0UobBYNSA ,621622     ,     8111 ,         122
WyfPIKtPYHM ,483439     ,     2148 ,          58
sXAaBMRlK1Q ,10138922   ,   446485 ,        8933
BjX8vRkQU_4 ,6534035    ,   101113 ,            
V9S-KsUpzvk ,14299177   ,    58612 ,        3590
PeMV7_NkVNs ,3206432    ,    59185 ,        3724
aO4CigH3mFg ,9774949    ,    90139 ,            
DVehxECNijo ,33517441   ,   347531 ,        5547
h_-zjjJ8oX0 ,3691753    ,    73800 ,        1839
2VaeG2LWgTs ,11141      ,      302 ,          11
x95DKaURUHQ ,50181      ,     1181 ,          45
touPvVxv0h0 ,4461989    ,    67572 ,            
gpxzC0e6Fec ,1286693    ,    20855 ,         738
1qTbGqU_Y_c ,640952     ,     2037 ,            
eGWAZksfNfo ,253149     ,     1258 ,            
V_DKNX2zG_Y ,21278      ,     1537 ,          36
2DMyZ5sroY4 ,18644282   ,   765456 ,       10986
oo6xrLyAnBM ,33077025   ,   391361 ,       10264
SfA20CZWzZY ,105644     ,     1373 ,          35
8Fy88r4_76c ,1846747    ,    13721 ,         308
mJWBxbDfNjY ,927941     ,    52629 ,        1036
7mpvxDxVIWM ,7153978    ,    41333 ,        1128
yYIFS3YaXqQ ,159441     ,     1467 ,          46
5dNN0KxIGqM ,1804514    ,    35472 ,         658
YGICTsTiofI ,4078640    ,   318882 ,        1127
vvoa-1DCL5s ,8482170    ,    80909 ,        2011
Ks-weY5uwzA ,1360249    ,    17212 ,         455
fb_yUFffAg4 ,3627171    ,    46234 ,         797
i7Sr5sxaBOA ,1278367    ,    18678 ,         392
YWvaf381kG0 ,620812     ,    18937 ,        1232
i5pBVu8KGsc ,5737321    ,   144482 ,        3041
39Xh3FCT7rU ,1486364    ,    15038 ,         347
kCZ-RLikEtw ,755260     ,    41868 ,        2733
U0w8LU7L7P8 ,5152019    ,    62267 ,        2275
_cEgrI4Vmcg ,9597081    ,   130417 ,        3020
dJTDrHZF6Oo ,2342048    ,    27315 ,         753
_6mqohghnTg ,2014644    ,    53372 ,        1967
VCWnsWfObvI ,6798361    ,   137929 ,        1237
VzvFKfI3Mbk ,592276     ,     9163 ,         352
v9WSjE3tIkg ,48089594   ,  1457809 ,       27374
58btoU6LyQM ,518330     ,    13580 ,         198
IZa_sEdO9e8 ,4717220    ,    62355 ,        2048
r-yo0viYFCw ,2243205    ,   224179 ,           1
73xz52Gpuec ,3139635    ,    92921 ,        8842
ApJ0XZogs7s ,4981665    ,    97440 ,        2273
EyTQJPvp4Lg ,276684     ,    10171 ,        1207
8sBqr6XSB0E ,4896533    ,    97460 ,        1534
nZhWIOOG3Ws ,5765417    ,   156639 ,        5822
cYJF4GB8Uls ,132331     ,     7379 ,         398
NtsgmSaC2pI ,1319291    ,    23125 ,         488
g6y8X2ojdV8 ,3779011    ,    69911 ,        1075
jLsdHW_--gI ,1014048    ,    52467 ,        1228
lMCOKYpVDhY ,1658184    ,    38575 ,        1940
88Zmo-1Rxjk ,3161858    ,    33816 ,         545
E_quZpeV--c ,1011858    ,    12136 ,         310
ZoXqb8Ddhtw ,14587294   ,  1136959 ,        9234
utPvHoiaznA ,2513903    ,   165959 ,        1190
9JiYIzUyLUE ,974373     ,    21226 ,         670
3oYzJGFW6Iw ,5081052    ,   101024 ,        4707
gYBP53kwj3o ,54244      ,     3437 ,         282
yKR1JgroA0s ,2057913    ,    68067 ,         933
4LF37gA5JZ0 ,1705200    ,    32442 ,        1034
R5mFbOtHqsw ,8121364    ,   305741 ,        2893
0Onuvef2Ul8 ,10391950   ,   532002 ,        1285
0D9rxq90K4U ,10156224   ,   181853 ,        8728
UxyUjhBoAlk ,14657648   ,  1060122 ,       11606
kKmRXatSHj4 ,8274993    ,   147521 ,        1727
Zh6x6ezP5bM ,1610341    ,   201244 ,         490
XM3LkMVFnlo ,2009816    ,   316530 ,        1768
reJAU-lx47U ,1011097    ,    64811 ,         428
uBp6qjJtKC0 ,26754898   ,  1864742 ,       11110
As3ptmG9R1M ,723165     ,    26819 ,         620
VD6RoGmef00 ,1392534    ,    16858 ,         245
5YBoWCU-FMg ,174797     ,     1006 ,          43
ki35Tnm4UQ4 ,158187     ,     1678 ,          59
LBQ5XAfkL18 ,33647      ,      284 ,          17
ECOd877Urm4 ,21556271   ,   162746 ,        3362
X8T112TkiUA ,49963      ,      316 ,          21
NGC8IS4gjpM ,77939629   ,   468829 ,           0
wE-I1en-Gt0 ,546368     ,     1874 ,          48
ZuRLOlB4N8U ,29015846   ,   662436 ,       11535
JzFwGQif5SA ,664612     ,     2896 ,         111
nOXcz2asRXo ,249914     ,     2001 ,          53
RhOwyHWGqWg ,2093137    ,     5692 ,         194
VJ3oZxEmSAI ,968547     ,    13539 ,         252
qyyGDoJJXHA ,4884058    ,    13464 ,         280
wjb8-xRXSZ4 ,339701     ,     2068 ,          49
Bxdn1x2a8dI ,3180314    ,    14705 ,         472
hJpfROXlaPc ,13725785   ,    23127 ,         733
MKSaPNU0p0g ,4420344    ,    18501 ,         532
